chain_key,store_key,city,province,category,recipe,product_key,size,crust,price,date_key,month,year
PP,PP_15,Toronto,ON,Pizza,Bacon Double Cheeseburger,PP_collection_12100_MD_REG,Medium,Regular Dough,15.79,2025-11-15,November,2025
PP,PP_15,Toronto,ON,Pizza,Bacon Double Cheeseburger,PP_collection_12100_LG_REG,Large,Regular Dough,19.84,2025-11-15,November,2025
PP,PP_15,Toronto,ON,Pizza,Bacon Double Cheeseburger,PP_collection_12100_XL_REG,X-Large,Regular Dough,23.74,2025-11-15,November,2025
PP,PP_15,Toronto,ON,Pizza,Bacon Double Cheeseburger,PP_collection_12100_SM_REG,Small,Regular Dough,13.04,2025-11-15,November,2025
PP,PP_15,Toronto,ON,Pizza,Bacon Double Cheeseburger,PP_collection_12100_MD_GF,Medium,Gluten Free,20.79,2025-11-15,November,2025
PP,PP_15,Toronto,ON,Pizza,Bacon Double Cheeseburger,PP_collection_12100_MD_CAULI,Medium,Cauliflower,20.79,2025-11-15,November,2025
PP,PP_15,Toronto,ON,Pizza,Bacon Double Cheeseburger,PP_collection_12100_MD_THIN,Medium,Thin,15.79,2025-11-15,November,2025
PP,PP_15,Toronto,ON,Pizza,Bacon Double Cheeseburger,PP_collection_12100_LG_THIN,Large,Thin,19.84,2025-11-15,November,2025
PP,PP_15,Toronto,ON,Pizza,Bacon Double Cheeseburger,PP_collection_12100_XL_THIN,X-Large,Thin,23.74,2025-11-15,November,2025
PP,PP_15,Toronto,ON,Pizza,Bacon Double Cheeseburger,PP_collection_12100_SM_THIN,Small,Thin,13.04,2025-11-15,November,2025
PP,PP_15,Toronto,ON,Pizza,Bacon Double Cheeseburger,PP_collection_12100_MD_THICKCRUST,Medium,Thick Crust,15.79,2025-11-15,November,2025
PP,PP_15,Toronto,ON,Pizza,Bacon Double Cheeseburger,PP_collection_12100_LG_THICKCRUST,Large,Thick Crust,19.84,2025-11-15,November,2025
PP,PP_15,Toronto,ON,Pizza,Bacon Double Cheeseburger,PP_collection_12100_XL_THICKCRUST,X-Large,Thick Crust,23.74,2025-11-15,November,2025
PP,PP_15,Toronto,ON,Pizza,Bacon Double Cheeseburger,PP_collection_12100_SM_THICKCRUST,Small,Thick Crust,13.04,2025-11-15,November,2025
PP,PP_15,Toronto,ON,Pizza,Bacon Double Cheeseburger,PP_collection_12100_MD_SUPERPANCRUST,Medium,Super Pan Crust,15.79,2025-11-15,November,2025
PP,PP_15,Toronto,ON,Pizza,Bacon Double Cheeseburger,PP_collection_12100_MD_STUFFED,Medium,Stuffed Crust,20.79,2025-11-15,November,2025
PP,PP_15,Toronto,ON,Pizza,Bacon Double Cheeseburger,PP_collection_12100_LG_STUFFED,Large,Stuffed Crust,25.84,2025-11-15,November,2025
PP,PP_15,Toronto,ON,Pizza,Bacon Double Cheeseburger,PP_collection_12100_XL_STUFFED,X-Large,Stuffed Crust,30.74,2025-11-15,November,2025
PP,PP_15,Toronto,ON,Pizza,Canadian Eh!,PP_collection_12300_SM_REG,Small,Regular Dough,13.74,2025-11-15,November,2025
PP,PP_15,Toronto,ON,Pizza,Canadian Eh!,PP_collection_12300_MD_REG,Medium,Regular Dough,16.49,2025-11-15,November,2025
PP,PP_15,Toronto,ON,Pizza,Canadian Eh!,PP_collection_12300_XL_REG,X-Large,Regular Dough,24.44,2025-11-15,November,2025
PP,PP_15,Toronto,ON,Pizza,Canadian Eh!,PP_collection_12300_LG_REG,Large,Regular Dough,20.54,2025-11-15,November,2025
PP,PP_15,Toronto,ON,Pizza,Canadian Eh!,PP_collection_12300_SM_THIN,Small,Thin,13.74,2025-11-15,November,2025
