chain_key,store_key,city,province,category,recipe,product_key,size,crust,price,date_key,month,year
PH,PH_R10503,Saskatoon,SK,Pizza,pizza.bacon--pepperoni-2X,PH_ph_pizza_bacon_pepperoni_2x_12_medi_12_hc,"12""",Handcrafted,21.49,2025-11-15,November,2025
PH,PH_R10503,Saskatoon,SK,Pizza,pizza.bacon--pepperoni-2X,PH_ph_pizza_bacon_pepperoni_2x_12_medi_12_pan,"12""",Pan,21.49,2025-11-15,November,2025
PH,PH_R10503,Saskatoon,SK,Pizza,pizza.bacon--pepperoni-2X,PH_ph_pizza_bacon_pepperoni_2x_12_medi_12_stf,"12""",Stuffed Crust,24.49,2025-11-15,November,2025
PH,PH_R10503,Saskatoon,SK,Pizza,pizza.bacon--pepperoni-2X,PH_ph_pizza_bacon_pepperoni_2x_12_medi_12_thinnc,"12""",Thin-N-Crispy,21.49,2025-11-15,November,2025
PH,PH_R10503,Saskatoon,SK,Pizza,pizza.bacon--pepperoni-2X,PH_ph_pizza_bacon_pepperoni_2x_14_larg_14_hc,"14""",Handcrafted,25.99,2025-11-15,November,2025
PH,PH_R10503,Saskatoon,SK,Pizza,pizza.bacon--pepperoni-2X,PH_ph_pizza_bacon_pepperoni_2x_14_larg_14_pan,"14""",Pan,25.99,2025-11-15,November,2025
PH,PH_R10503,Saskatoon,SK,Pizza,pizza.bacon--pepperoni-2X,PH_ph_pizza_bacon_pepperoni_2x_14_larg_14_stf,"14""",Stuffed Crust,29.99,2025-11-15,November,2025
PH,PH_R10503,Saskatoon,SK,Pizza,pizza.bacon--pepperoni-2X,PH_ph_pizza_bacon_pepperoni_2x_14_larg_14_thinnc,"14""",Thin-N-Crispy,25.99,2025-11-15,November,2025
PH,PH_R10503,Saskatoon,SK,Pizza,pizza.bacon--pepperoni-2X,PH_ph_pizza_bacon_pepperoni_2x_6_perso_p_pan,Personal,Pan,6.49,2025-11-15,November,2025
PH,PH_R10503,Saskatoon,SK,Pizza,pizza.bacon--pepperoni-2X,PH_ph_pizza_bacon_pepperoni_2x_9_small_9_gluten,"9""",Gluten-Free,14.49,2025-11-15,November,2025
PH,PH_R10503,Saskatoon,SK,Pizza,pizza.bacon--pepperoni-2X,PH_ph_pizza_bacon_pepperoni_2x_9_small_9_pan,"9""",Pan,13.49,2025-11-15,November,2025
PH,PH_R10503,Saskatoon,SK,Pizza,pizza.bacon--pineapple-2J,PH_ph_pizza_bacon_pineapple_2j_12_medi_12_hc,"12""",Handcrafted,21.49,2025-11-15,November,2025
PH,PH_R10503,Saskatoon,SK,Pizza,pizza.bacon--pineapple-2J,PH_ph_pizza_bacon_pineapple_2j_12_medi_12_pan,"12""",Pan,21.49,2025-11-15,November,2025
PH,PH_R10503,Saskatoon,SK,Pizza,pizza.bacon--pineapple-2J,PH_ph_pizza_bacon_pineapple_2j_12_medi_12_stf,"12""",Stuffed Crust,24.49,2025-11-15,November,2025
PH,PH_R10503,Saskatoon,SK,Pizza,pizza.bacon--pineapple-2J,PH_ph_pizza_bacon_pineapple_2j_12_medi_12_thinnc,"12""",Thin-N-Crispy,21.49,2025-11-15,November,2025
PH,PH_R10503,Saskatoon,SK,Pizza,pizza.bacon--pineapple-2J,PH_ph_pizza_bacon_pineapple_2j_14_larg_14_hc,"14""",Handcrafted,25.99,2025-11-15,November,2025
PH,PH_R10503,Saskatoon,SK,Pizza,pizza.bacon--pineapple-2J,PH_ph_pizza_bacon_pineapple_2j_14_larg_14_pan,"14""",Pan,25.99,2025-11-15,November,2025
PH,PH_R10503,Saskatoon,SK,Pizza,pizza.bacon--pineapple-2J,PH_ph_pizza_bacon_pineapple_2j_14_larg_14_stf,"14""",Stuffed Crust,29.99,2025-11-15,November,2025
PH,PH_R10503,Saskatoon,SK,Pizza,pizza.bacon--pineapple-2J,PH_ph_pizza_bacon_pineapple_2j_14_larg_14_thinnc,"14""",Thin-N-Crispy,25.99,2025-11-15,November,2025
PH,PH_R10503,Saskatoon,SK,Pizza,pizza.bacon--pineapple-2J,PH_ph_pizza_bacon_pineapple_2j_6_perso_p_pan,Personal,Pan,6.49,2025-11-15,November,2025
PH,PH_R10503,Saskatoon,SK,Pizza,pizza.bacon--pineapple-2J,PH_ph_pizza_bacon_pineapple_2j_9_small_9_gluten,"9""",Gluten-Free,14.49,2025-11-15,November,2025
PH,PH_R10503,Saskatoon,SK,Pizza,pizza.bacon--pineapple-2J,PH_ph_pizza_bacon_pineapple_2j_9_small_9_pan,"9""",Pan,13.49,2025-11-15,November,2025
PH,PH_R10503,Saskatoon,SK,Pizza,pizza.BBQ-chicken-2R,PH_ph_pizza_bbq_chicken_2r_12_medium_2_12_hc,"12""",Handcrafted,23.49,2025-11-15,November,2025
PH,PH_R10503,Saskatoon,SK,Pizza,pizza.BBQ-chicken-2R,PH_ph_pizza_bbq_chicken_2r_12_medium_2_12_pan,"12""",Pan,23.49,2025-11-15,November,2025
PH,PH_R10503,Saskatoon,SK,Pizza,pizza.BBQ-chicken-2R,PH_ph_pizza_bbq_chicken_2r_12_medium_2_12_stf,"12""",Stuffed Crust,26.49,2025-11-15,November,2025
PH,PH_R10503,Saskatoon,SK,Pizza,pizza.BBQ-chicken-2R,PH_ph_pizza_bbq_chicken_2r_12_medium_2_12_thinnc,"12""",Thin-N-Crispy,23.49,2025-11-15,November,2025
PH,PH_R10503,Saskatoon,SK,Pizza,pizza.BBQ-chicken-2R,PH_ph_pizza_bbq_chicken_2r_14_large_3__14_hc,"14""",Handcrafted,27.49,2025-11-15,November,2025
