product_id,chain_id,product_key,recipe,size,crust,category,m_recipe,m_size,m_crust
63730369945585854,14154747903039742855,PH_ph_pizza_cup_n_crisp_pepperoni_mush_14_thinnc,pizza.cup-n-crisp-pepperoni--mushroom-2V,"14""",Thin-N-Crispy,Pizza,Other,Large,Thin
64429202662433744,14154747903039742855,PH_ph_pizza_pepperoni_2p_9_small_1_glu_9_gluten,pizza.pepperoni-2P,"9""",Gluten-Free,Pizza,Pepperoni,Small,Gluten Free
78974281687671613,14154747903039742855,PH_ph_pizza_italian_classic_2i_14_larg_14_stf,pizza.italian-classic-2I,"14""",Stuffed Crust,Pizza,Other,Large,Stuffed
96009083416897423,14154747903039742855,PH_ph_pizza_italian_classic_2i_12_medi_12_thinnc,pizza.italian-classic-2I,"12""",Thin-N-Crispy,Pizza,Other,Medium,Thin
183202423744423126,14154747903039742855,PH_ph_pizza_triple_crown_29_14_large_3_14_homest,pizza.triple-crown-29,"14""",Homestyle,Pizza,Other,Large,Other
211685298220483383,14154747903039742855,PH_ph_pizza_bacon_pepperoni_2x_14_larg_14_thinnc,pizza.bacon--pepperoni-2X,"14""",Thin-N-Crispy,Pizza,Other,Large,Thin
292031833260086408,14154747903039742855,PH_ph_pizza_hawaiian_27_12_medium_2_pa_12_pan,pizza.hawaiian-27,"12""",Pan,Pizza,Hawaiian,Medium,Pan
346448571569632928,14154747903039742855,PH_ph_pizza_cheesy_poutine_2e_9_small__9_gluten,pizza.cheesy-poutine-2E,"9""",Gluten-Free,Pizza,Other,Small,Gluten Free
375312330853395523,14154747903039742855,PH_ph_pizza_cheeseburger_pizza_2w_14_l_14_hc,pizza.cheeseburger-pizza-2W,"14""",Handcrafted,Pizza,Other,Large,Handcrafted
395789602045428651,14154747903039742855,PH_ph_pizza_veggie_lovers_23_14_large__14_pan,pizza.veggie-lovers-23,"14""",Pan,Pizza,Veggie,Large,Pan
466641343243633359,14154747903039742855,PH_ph_pizza_green_pepper_mushroom_2n_6_p_pan,pizza.green-pepper--mushroom-2N,Personal,Pan,Pizza,Other,Other,Pan
529813494009310475,14154747903039742855,PH_ph_pizza_new_crunchy_chicken_melt_2_m_defaul,pizza.new-crunchy-chicken-melt-25,Medium,Default-Crust,Pizza,Other,Medium,Other
542807920780239769,14154747903039742855,PH_ph_pizza_create_your_own_2y_14_larg_14_thinnc,pizza.create-your-own-2Y,"14""",Thin-N-Crispy,Pizza,CYO,Large,Thin
623358726278414532,14154747903039742855,PH_ph_pizza_pineapple_jalapeno_melt_24_m_defaul,pizza.pineapple-jalapeno-melt-24,Medium,Default-Crust,Pizza,Other,Medium,Other
645641495396702612,14154747903039742855,PH_ph_pizza_green_pepper_mushroom_2n_1_12_pan,pizza.green-pepper--mushroom-2N,"12""",Pan,Pizza,Other,Medium,Pan
663409465879119421,14154747903039742855,PH_ph_pizza_grilled_chicken_rustico_2l_12_hc,pizza.grilled-chicken-rustico-2L,"12""",Handcrafted,Pizza,Other,Medium,Handcrafted
682191140447998093,14154747903039742855,PH_ph_pizza_margherita_2m_12_medium_2__12_stf,pizza.margherita-2M,"12""",Stuffed Crust,Pizza,Other,Medium,Stuffed
715520600610382330,14154747903039742855,PH_ph_pizza_super_supreme_lovers_20_14_14_homest,pizza.super-supreme-lovers-20,"14""",Homestyle,Pizza,Super Supreme,Large,Other
737722533585999509,14154747903039742855,PH_ph_pizza_greek_pizza_2g_12_medium_2_12_thinnc,pizza.greek-pizza-2G,"12""",Thin-N-Crispy,Pizza,Other,Medium,Thin
747588724304397650,14154747903039742855,PH_ph_pizza_cup_n_crisp_pepperoni_mush_14_stf,pizza.cup-n-crisp-pepperoni--mushroom-2V,"14""",Stuffed Crust,Pizza,Other,Large,Stuffed
843935121350146793,14154747903039742855,PH_ph_pizza_create_your_own_2y_panalic_m_panorm,pizza.create-your-own-2Y,Medium,Panormous,Pizza,CYO,Medium,Other
894931009252474210,14154747903039742855,PH_ph_pizza_nashville_hot_chicken_pizz_12_thinnc,pizza.nashville-hot-chicken-pizza-2.,"12""",Thin-N-Crispy,Pizza,Other,Medium,Thin
