chain_key,store_key,city,province,category,recipe,product_key,size,crust,price,date_key,month,year
DP,DP_10003,Whistler,BC,Pizza,Brooklyn,DP_14SCRBRK,"14""",HANDTOSS,23.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Brooklyn,DP_16SCRBRK,"16""",HANDTOSS,27.94,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,BBQ Chicken Bacon,DP_P10ITHBQ,"10""",THIN,19.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,BBQ Chicken Bacon,DP_P10IREBQ,"10""",HANDTOSS,19.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,BBQ Chicken Bacon,DP_P10IGFCK,"10""",GLUTENF,19.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,BBQ Chicken Bacon,DP_P12ITHBQ,"12""",THIN,23.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,BBQ Chicken Bacon,DP_P12IREBQ,"12""",HANDTOSS,23.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,BBQ Chicken Bacon,DP_P12HTTBQ,"12""",HANDTOSSTHIN,23.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,BBQ Chicken Bacon,DP_P12SFFBQ,"12""",STUFFED,23.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,BBQ Chicken Bacon,DP_P12PANBQ,"12""",NPAN,23.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,BBQ Chicken Bacon,DP_P14ITHBQ,"14""",THIN,27.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,BBQ Chicken Bacon,DP_P14IREBQ,"14""",HANDTOSS,27.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,BBQ Chicken Bacon,DP_P14HTTBQ,"14""",HANDTOSSTHIN,27.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,BBQ Chicken Bacon,DP_P16IREBQ,"16""",HANDTOSS,33.24,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,BBQ Chicken Bacon,DP_P16HTTBQ,"16""",HANDTOSSTHIN,33.24,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Canadian,DP_10TCAN,"10""",THIN,18.49,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Canadian,DP_10SCCAN,"10""",HANDTOSS,18.49,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Canadian,DP_P10IGFCAN,"10""",GLUTENF,18.49,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Canadian,DP_12TCAN,"12""",THIN,21.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Canadian,DP_12SCCAN,"12""",HANDTOSS,21.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Canadian,DP_12HTTCAN,"12""",HANDTOSSTHIN,21.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Canadian,DP_12SFFCAN,"12""",STUFFED,21.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Canadian,DP_P12PANCA,"12""",NPAN,21.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Canadian,DP_14TCAN,"14""",THIN,25.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Canadian,DP_14SCCAN,"14""",HANDTOSS,25.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Canadian,DP_14HTTCAN,"14""",HANDTOSSTHIN,25.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Canadian,DP_16SCCAN,"16""",HANDTOSS,30.59,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Canadian,DP_16HTTCAN,"16""",HANDTOSSTHIN,30.59,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Chicken Bacon Alfredo,DP_10TCBALF,"10""",THIN,19.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Chicken Bacon Alfredo,DP_10SCCBALF,"10""",HANDTOSS,19.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Chicken Bacon Alfredo,DP_P10IGFCBAL,"10""",GLUTENF,19.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Chicken Bacon Alfredo,DP_12TCBALF,"12""",THIN,23.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Chicken Bacon Alfredo,DP_12SCCBALF,"12""",HANDTOSS,23.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Chicken Bacon Alfredo,DP_12HTTCBALF,"12""",HANDTOSSTHIN,23.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Chicken Bacon Alfredo,DP_12SFFCBALF,"12""",STUFFED,23.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Chicken Bacon Alfredo,DP_P12PANCBAL,"12""",NPAN,23.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Chicken Bacon Alfredo,DP_14TCBALF,"14""",THIN,27.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Chicken Bacon Alfredo,DP_14SCCBALF,"14""",HANDTOSS,27.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Chicken Bacon Alfredo,DP_14HTTCBALF,"14""",HANDTOSSTHIN,27.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Chicken Bacon Alfredo,DP_16SCCBALF,"16""",HANDTOSS,33.24,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Chicken Bacon Alfredo,DP_16HTTCBALF,"16""",HANDTOSSTHIN,33.24,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Chicken Bacon Ranch,DP_10TCBRAN,"10""",THIN,19.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Chicken Bacon Ranch,DP_10SCCBRAN,"10""",HANDTOSS,19.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Chicken Bacon Ranch,DP_P10IGFCBRA,"10""",GLUTENF,19.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Chicken Bacon Ranch,DP_12TCBRAN,"12""",THIN,23.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Chicken Bacon Ranch,DP_12SCCBRAN,"12""",HANDTOSS,23.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Chicken Bacon Ranch,DP_12HTTCBRAN,"12""",HANDTOSSTHIN,23.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Chicken Bacon Ranch,DP_12SFFCBRAN,"12""",STUFFED,23.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Chicken Bacon Ranch,DP_P12PANCBRA,"12""",NPAN,23.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Chicken Bacon Ranch,DP_14TCBRAN,"14""",THIN,27.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Chicken Bacon Ranch,DP_14SCCBRAN,"14""",HANDTOSS,27.99,2025-11-15,November,2025
